Iteration	Posterior	Likelihood	Prior	alpha	beta	d[1]	d[2]	d[3]	d[4]	d[5]	d[6]	mean	var
0	-20.9455	-15.4546	-5.49089	144.9955	4.336969	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.43244	7.70871
10	-20.8869	-15.252	-5.63497	96.65244	2.846657	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.95296	11.92731
20	-20.8229	-15.7167	-5.10627	116.7156	3.534735	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.01963	9.341474
30	-23.4334	-17.6801	-5.75329	187.6854	5.095973	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.83014	7.227303
40	-20.9098	-15.3496	-5.5602	106.7871	3.016264	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.40376	11.73762
50	-22.4168	-15.4151	-7.00171	80.41168	2.36297	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.02993	14.40134
60	-20.1633	-15.0468	-5.11653	130.0959	3.769912	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.50901	9.153796
70	-21.7494	-15.6756	-6.0738	163.7181	4.914533	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.31305	6.778477
80	-20.2199	-15.0918	-5.12817	128.7551	3.777101	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.08834	9.025
90	-20.7972	-15.6754	-5.1218	141.1272	3.940203	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.81723	9.0902
100	-20.5578	-15.2058	-5.35201	152.7234	4.356897	31.9935	34.5389	38.4753	35.088	36.985	29.6608	35.05325	8.045462
110	-20.2967	-15.1034	-5.19325	112.1306	3.275226	31.9935	34.5389	38.4753	35.088	36.985	29.6608	34.23598	10.45301
120	-20.6791	-15.4	-5.27917	135.4205	4.047488	31.9935	34.5389	38.4753	35.088	36.985	29.6608	33.4579	8.266336
130	-22.8822	-16.5053	-6.37692	201.6706	5.599127	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.01822	6.432827
140	-22.1721	-16.9438	-5.22827	159.2866	4.34098	31.9935	34.5389	38.4753	35.088	36.985	29.6608	36.69369	8.452858
